=9x3
0,-4,
1,-2,
-1,-2,
-3,0,
0,0,
3,0,
1,2,
-1,2,
0,4,
=1x2
SYS_WAFERID,25
=120x13
VTHI_A02C_NSVT10_X130X230Y230Y1D15_d12_1,,R,V,+2.848000E-01,+2.636000E-01,+2.883000E-01,+2.799000E-01,+3.198000E-01,+2.750000E-01,+2.721000E-01,+2.974000E-01,+2.514000E-01
IDLIN_A02D_NSVT10_X130X230Y230Y1D3_d12_1,,R,uA,+2.833500E+00,+2.751500E+00,+2.744000E+00,+2.890000E+00,+2.541500E+00,+2.864000E+00,+2.856500E+00,+2.784000E+00,+2.872500E+00
IDSAT_A02D_NSVT10_X130X230Y230Y1D3_d12_1,,R,mA,+1.240500E-02,+1.192000E-02,+1.201000E-02,+1.268000E-02,+1.051500E-02,+1.245000E-02,+1.245000E-02,+1.200000E-02,+1.287000E-02
VTHI_A02D_NSVT10_X130X230Y230Y1D3_d12_1,,R,V,+2.763000E-01,+2.880000E-01,+2.851000E-01,+2.648000E-01,+3.127000E-01,+2.796000E-01,+2.872000E-01,+2.865000E-01,+2.809000E-01
IDLIN_A02E_NSVT10_X130X230Y230Y1D5_d12_1,,R,uA,+2.924500E+00,+2.812000E+00,+2.832500E+00,+2.914500E+00,+2.853500E+00,+2.894000E+00,+2.836500E+00,+2.871000E+00,+2.909000E+00
IDSAT_A02E_NSVT10_X130X230Y230Y1D5_d12_1,,R,mA,+1.304000E-02,+1.239000E-02,+1.253000E-02,+1.307500E-02,+1.256000E-02,+1.294500E-02,+1.269500E-02,+1.263500E-02,+1.320500E-02
VTHI_A02E_NSVT10_X130X230Y230Y1D5_d12_1,,R,V,+2.709000E-01,+2.877000E-01,+3.183000E-01,+2.519000E-01,+2.712000E-01,+2.516000E-01,+2.665000E-01,+2.821000E-01,+2.604000E-01
IDLIN_A02F_NSVT10_X130X230Y230Y11_d12_1,,R,uA,+2.948500E+00,+2.862500E+00,+2.914000E+00,+2.943500E+00,+2.807500E+00,+2.985500E+00,+2.882500E+00,+2.844000E+00,+2.881500E+00
IDSAT_A02F_NSVT10_X130X230Y230Y11_d12_1,,R,mA,+1.346000E-02,+1.300500E-02,+1.295500E-02,+1.327500E-02,+1.243500E-02,+1.326500E-02,+1.283000E-02,+1.252500E-02,+1.306500E-02
VTHI_A02F_NSVT10_X130X230Y230Y11_d12_1,,R,V,+2.660000E-01,+2.646000E-01,+2.628000E-01,+2.621000E-01,+2.738000E-01,+2.597000E-01,+2.766000E-01,+2.782000E-01,+2.495000E-01
